PID,EntryNum,APIImageCaption,User Query,User Location,User Comments,User Trust,User Satisfaction,Coded Acc:Coverage,Coded Acc:Specificity,Coded Acc:Accuracy,Coded User Goal,Coded Lower Location,Coded Higher Location,Coded User Reaction to Result,Photo Properties,Photo Content,Photo Link
P4,3,a car on a road with grass and trees on the side,Where cars were located,on my street,"""I wondered if the app would focus on the nearest object (car) or tell me if there were multiple objects",4,4,3,3,3,identifyFeatures,"['Used on their property', 'Used in a familiar space', 'Used outdoors', 'Used in a public space']",Used in Living Spaces/Domiciles,['Reaction to result'],"['Overall Photo', 'Night photography', 'Even lighting', 'Photo is clear', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject']","['Vehicle', 'Plants', 'Immobile object', 'Object on ground', 'Multiple objects of interest', 'Mobile object', 'Inconvenient to inspect by touch']",DiaryEntryData/DiaryEntryPhotos/P4_3_11_12_22.jpg
P4,4,a television on a wall,whether my plants were visible or too small,home,This one was surprising,1,1,1,2,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Confused by result']","['Uneven lighting', 'Side-lit photo subjects', 'High contrast between foreground and main subject', 'Photo is clear', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken from below photo subject']","['Furniture', 'Plants', 'Object on furniture', 'Immobile object', 'Hanging object', 'Overhead object']",DiaryEntryData/DiaryEntryPhotos/P4_4_11_13_22.jpg
P4,5,a room with a fan and a shelf with clothes on it,the color/type of cat,neighbor's apartment,did not receive a description,1,1,NA,NA,NA,identifyFeatures,"[""Used at neighbor's apartment"", 'Used in an unfamiliar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo is clear', 'Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject']","['Animal', 'Mobile object', 'Object on ground', 'Immobile object', 'Object on ground', 'Styled floor']",DiaryEntryData/DiaryEntryPhotos/P4_5_11_14_22.jpg
P4,8,a road with a car on it and a building in the background,No response,lawn,NA,2,3,3,2,3,noSpecificGoal,"['Used outdoors', 'Used on their property', 'Used in a public space']",Used in Living Spaces/Domiciles,['Reaction to result'],"['Overall Photo', 'Night photography', 'Uneven lighting', 'Photo is clear', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject']","['Vehicle', 'Immobile object', 'Snowy weather', 'Object on ground', 'Inconvenient to inspect by touch', 'Building', 'Plants', 'Precipitation']",DiaryEntryData/DiaryEntryPhotos/P4_8_11_15_22.jpg
P4,11,a group of black and yellow objects on a wooden surface,what these objects are,work,NA,3,2,2,2,2,identifySubject,"['Used at work', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used at Participant's Work,['Reaction to result'],"['Taken from above photo subject', 'Photo is clear', 'Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'High contrast between foreground and main subject', 'Photo subject fully captured']","['Furniture', 'Object on furniture', 'Colored stones', 'Food', 'Multiple objects of interest', 'Immobile object', 'Group of similar items']",DiaryEntryData/DiaryEntryPhotos/P4_11_12_05_22.jpg
P4,12,a plastic bag of food,What the contents might be,work ,Impressed it identified plastic,2,4,1,2,1,identifySubject,"['Used at work', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used at Participant's Work,"['Reaction to result', ""Participant didn't expect AI high Descriptiveness"", 'Positive reaction to result']","['Taken from above photo subject', 'Photo is clear', 'Photo is well-lit', 'Photo subject of interest is not occluded', 'High contrast between foreground and main subject', 'Photo subject fully captured', 'Even lighting']","['Furniture', 'Object on furniture', 'Immobile object', 'Containers', 'Recreational items', 'Object in containers']",DiaryEntryData/DiaryEntryPhotos/P4_12_12_05_22.jpg
P4,13,a christmas tree with red and white ornaments,"""Anything about the ornaments I might miss otherwise""",work lobby,NA,4,5,2,3,3,identifyFeatures,"['Used at work', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used at Participant's Work,['Reaction to result'],"['Midrange Photo', 'Photo is clear', 'Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'High contrast between foreground and main subject', 'Photo subject fully captured']","['Plants', 'Immobile object', 'Decoration', 'Symbolic object', 'Inconvenient to inspect by touch']",DiaryEntryData/DiaryEntryPhotos/P4_13_12_05_22.jpg
P4,14,a basketball hoop with a basketball hoop,What the shape or object was on the pole,dowtown,NA,1,2,1,1,1,identifySubject,"['Used in an unfamiliar space', 'Used outdoors', 'Used in a public space']",NA,['Reaction to result'],"['Photo is clear', 'Photo is well-lit', 'High contrast between foreground and main subject', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Even lighting']","['Street object', 'Decoration', 'Signage', 'Immobile object', 'Inconvenient to inspect by touch']",DiaryEntryData/DiaryEntryPhotos/P4_14_12_07_22.jpg
P14,1,a woman's face on a black surface,To see what the picture was,in my home office,it was a static picture on the zoom screen of the host researcher. I wanted to see if it could accurately describe the person. Apparently it did not. ,2,1,3,1,2,noSpecificGoal,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken at an eye level photo subject', 'Close-up Photo']","['Person', 'Digital content', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P14_1_01_21_23.jpg
P14,2,text,wanted to know what the sign said,my bedroom,"I know that it says my family does my laundry. Thank you. Unfortunately, the description just said text.",1,1,1,1,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space', 'Used at a senior home']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken from above photo subject', 'Photo is clear', 'Midrange Photo']","['Openings', 'Immobile object', 'Signage', 'Text', 'Hanging object', 'Decorative image', 'Decoration']",DiaryEntryData/DiaryEntryPhotos/P14_2_01_22_23.jpg
P14,3,"text, letter",I wanted it to tell me what was on the menu,Dining room,"any description at all would’ve been nice, but it saw there was texts on the page, but it did not identify the words",1,1,2,1,1,identifyFeatures,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result', 'Suggestions for improvement']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken from above photo subject', 'Photo is clear', 'Close-up Photo']","['Documents', 'Text', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P14_3_01_22_23.jpg
P14,4,"text, letter","wanted the app to read the text on white paper. It was a menu, but it did not read it.",Dining room,tried a different menu from yesterday on white paper instead of purple paper. Somehow this app does not like to read text.,1,1,2,1,1,identifyFeatures,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result', 'Learning limits of AI app']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken from above photo subject', 'Photo is clear', 'Close-up Photo']","['Documents', 'Text', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P14_4_01_23_23.jpg
P14,5,a guitar leaning against a wall,I know that it is a Tumblr but I didn’t know what color it was. I have several of the same kind and wanted to know the color. It got it completely wrong. ,Dining room,"any description at all would’ve been nice, but it saw there was texts on the page, but it did not identify the words",1,1,2,1,1,identifyFeatures,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result', 'Suggestions for improvement']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken from above photo subject', 'Photo is clear', 'Close-up Photo']","['Containers', 'Immobile object', 'Object on furniture']",DiaryEntryData/DiaryEntryPhotos/P14_5_01_23_23.jpg
P14,6,a box of chocolate,I wanted to know what brand of Kleenex it was,bedroom,I knew that it was a box of Kleenex. I just wanted to know the brand. Maybe I’m expecting too much of this program.,1,1,3,2,1,identifyFeatures,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result', 'Learning limits of AI app']","['Photo is not well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Taken at an eye level photo subject', 'Photo is clear', 'Close-up Photo']","['Selfcare Object', 'Text', 'Immobile object', 'Decorative image', 'Packaged item']",DiaryEntryData/DiaryEntryPhotos/P14_6_01_23_23.jpg
P14,7,a table with pictures and flowers on it,what kind of plant was it and what were the pictures of?,Dining room,"it was generally correct, but not in the specifics a picture they got it in",3,4,3,2,2,identifyFeatures,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result', 'Suggestions for improvement']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject', 'Photo is clear', 'Midrange Photo']","['Plants', 'Immobile object', 'Object on furniture', 'Recreational object', 'Decorative image', 'Multiple objects of interest', 'Group of similar items', 'Instrument']",DiaryEntryData/DiaryEntryPhotos/P14_7_01_24_23.jpg
P14,8,a group of hats on a shelf,wanted to know if they were hats and it said they were,Activity Area,"it wasn’t exact but pretty close. There was a shelf with that time. If there was also a hatchery, I thought I had the camera aimed properly. But for me, it wasn’t a clear definition of what I was looking at. Someone just told me to go over there and aim for the hat.",4,4,2,2,2,identifySubject,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Being forgiving of AI errors', 'Mixed reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject', 'Photo is clear', 'Midrange Photo']","['Clothing', 'Furniture', 'Immobile object', 'Object on furniture', 'Multiple objects of interest', 'Group of similar items']",DiaryEntryData/DiaryEntryPhotos/P14_8_01_25_23.jpg
P14,9,a table with balloons and a microphone,"wanted to know what was on the easel. I knew there were balloons, but couldn’t tell what the picture was.",Dining room,would like to have more details about the picture. Was told that it was a picture of a peace sign with flowers. The part with the balloons was correct.,3,3,2,2,1,identifySubject,"['Used at a senior home', 'Used in a familiar space', 'Used indoors', 'Used in a public space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result', 'Suggestions for improvement']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Taken at an eye level photo subject', 'Photo is clear', 'Midrange Photo']","['Decorative image', 'Immobile object', 'Recreational object', 'Text', 'Symbolic object', 'Group of similar items', 'Multiple objects of interest']",DiaryEntryData/DiaryEntryPhotos/P14_9_01_26_23.jpg
